- C1-Projections of 20240929_Fz_GFP_loco_Gal4_UAS_vang_RNAi003
V
25,31.33, 34, 23.19, 23, 
26,25.05, 24, 24.29, 22, 
27,33.33, 31, 20.43, 19,
28,32.14, 30, 18.19, 17, 
29,26.19, 28, 23.10, 21, 
30,31.71, 31, 25.38, 24, 

D
31,33.05, 33, 54.95, 48, 
32,26.71, 28, 40.81, 36,
33,26.95, 28, 38.67, 37, 
34,25.90, 25, 44.81, 44, 
35,28.81, 28, 40.52, 40, 
36,26.67, 25, 37.00, 36, 
37,25.10, 24, 51.67, 53, 
38,21.19, 21, 44.38, 40, 
39,23.57, 24, 45.95, 43,
40,22.43, 22, 58.14, 62, 
41,29.86, 29, 41.71, 41, 
42,21.10, 21, 54.52, 55,
43,34.00, 34, 43.62, 46, 
44,34.71, 34, 46.57, 44, 
45,31.38, 31, 59.48, 60, 
46,36.38, 35, 37.19, 38, 
47,21.67, 22, 30.38, 29,
48,26.90, 27, 42.95, 41, 
49,20.33, 20, 36.14, 35,
50,25.71, 25, 27.95, 37, 
51,30.43, 31, 38.81, 36, 
52,29.52, 30, 36.86, 35,
53,21.10, 20, 34.90, 35, 
54,34.00, 34, 39.81, 37,
55,33.00, 32, 50.38, 51, 
56,34.52, 35, 56.67, 55, 
57,22.33, 22, 43.24, 42, 
58,28.57, 29, 31.10, 27,
59,26.86, 25, 33.29, 33, 
60,26.48, 26, 35.67, 34, 
